ID_REF	leaf1	leaf2	protoplast1	protoplast2
244901_at	11.91535475	9.195703822	119.115719	94.60929338
244902_at	26.50219595	22.45305735	93.52045216	87.11625313
244903_at	16.06389679	11.47100588	131.4071531	107.2051201
244904_at	29.37770925	38.451554	85.46193042	79.22533775
244905_at	12.15569099	10.37385353	10.88077942	12.06227394
244906_at	18.3976552	12.26571985	324.6496852	274.3968291
244907_at	8.178577857	9.831625755	11.23026448	9.793401283
244908_at	11.18675731	9.794012246	9.65141184	10.10116648
244909_at	11.02013506	10.32636075	11.02013506	12.49630789
244910_s_at	10.72295032	10.72295032	11.89134501	10.85591933
244911_at	8.086133375	8.773484859	8.756109522	8.086133375
244912_at	38.4795494	27.51277967	59.5995693	87.21775799
244913_at	17.57533155	21.21819458	16.59630304	18.58079081
244914_at	8.994792497	8.280856527	9.377218179	8.994792497
244915_s_at	14.77616524	12.73564392	15.91196387	17.73589218
244916_at	11.35747323	10.6974127	10.87889409	11.35747323
244917_at	11.85718798	11.30704471	11.0537961	12.18040332
244918_at	8.411598562	8.619116537	8.958952133	8.958952133
244919_at	25.08964234	22.08461841	32.04039437	37.65031421
244920_s_at	22.03141115	14.74577762	198.4236253	146.4312842
244921_s_at	19.37050955	19.49807781	178.7773305	168.9965518
244922_s_at	22.29023621	23.74151345	41.02780311	31.41082651
244923_s_at	37.2051389	36.61238877	67.23916949	66.97171464
244924_at	14.20837836	14.43871052	21.3885978	15.91383896
244925_at	14.64047037	16.46796063	16.7653419	20.4444876
244926_s_at	8.564090255	8.358012985	14.22444048	13.30392467
244927_at	19.44409254	20.42380835	19.44409254	18.33972371
244928_s_at	28.11172347	28.25237019	49.23218961	41.38769506
244929_at	18.45576968	17.92833989	45.14173613	45.33489379
244930_at	9.185383776	9.185383776	9.21970123	9.185383776
244931_at	13.27647273	13.04097653	24.450804	33.43182021
244932_at	15.06428193	13.94184898	19.39092876	16.50281236
244933_at	10.5521129	11.03121656	12.4847065	11.03121656
244934_at	30.93568341	28.35694089	38.90463124	27.57673976
244935_at	14.76940703	15.18505259	15.998891	16.50086786
244936_at	11.21315224	10.88093027	12.2826504	10.65323732
244937_at	8.133577208	8.769046621	7.970112012	7.970112012
244938_at	18.21241078	16.98642092	16.98642092	18.95898731
244939_at	8.83475422	8.83475422	9.586272828	9.173867052
244940_at	8.450285003	9.625156511	9.208907422	7.915771678
244941_at	13.43765974	14.21744186	15.17021892	15.93381694
244942_at	11.733569	14.78087734	10.20482827	13.39553225
244943_at	10.67060447	9.30966981	85.26371436	62.16454149
244944_s_at	18.02478318	16.1268191	200.8075914	149.4884282
244945_at	13.79161977	12.42892831	22.0905893	19.48686356
244946_at	11.67305275	11.57900997	17.40451854	15.77239673
244947_at	8.611293734	10.50358561	10.95410721	11.71633951
244948_at	9.882047566	13.104133	9.882047566	9.965623015
244949_at	12.55386766	13.36538972	15.40909257	15.43164548
244950_at	12.95628317	10.94879353	134.9901191	146.2537696
244951_s_at	30.28139996	16.297175	179.7577299	127.045371
244952_at	8.775370269	10.20270646	10.20270646	11.70854581
244953_s_at	11.17753377	11.8992604	322.6441372	280.821581
244954_s_at	11.38221949	8.958952133	16.07202714	15.01112294
244955_at	9.038165658	9.960926924	11.74024003	11.41303037
244956_s_at	14.53893814	13.43225855	15.39393334	15.74116049
244957_at	15.77983265	14.76797387	16.78452728	15.77983265
244958_at	15.51326016	16.481664	16.95642351	13.19610265
244959_s_at	12.73308415	13.30327918	27.84159581	23.21249992
244960_at	8.489973202	8.366301558	51.44004501	21.30824694
244961_at	17.53797168	20.54250197	18.45346716	17.53797168
244962_at	16.97053333	17.81449893	22.2467086	18.85571562
244963_at	82.77711141	103.3647168	149.8556844	160.0068656
244964_at	71.4588108	64.431309	110.4952085	97.60816972
244965_at	10.24998576	9.645660285	11.76557562	10.99838661
244966_at	9.813923326	10.46731852	14.74117889	12.48288934
244967_at	54.78731511	59.91893183	102.485074	59.34440033
244968_at	14.4689668	14.61157711	13.96041574	13.19610265
244969_at	7.650001337	7.133993988	7.262971908	7.262971908
244970_at	8.968396113	8.057431398	8.968396113	8.783403006
244971_at	11.66876523	12.3905644	12.78579533	12.78579533
244972_at	52.68900389	39.5643733	62.17617666	51.99027928
244973_at	11.19715259	14.03133136	11.19715259	12.65556489
244974_at	15.11647654	16.46796063	14.17925669	16.08607002
244975_at	22.43578877	27.91134999	34.03907671	34.37457568
244976_at	65.19412247	69.29935406	173.6176729	162.1314321
244977_at	15.07180187	28.08679301	36.64285477	40.09582172
244978_at	310.6508088	244.92564	310.6508088	319.3179845
244979_at	200.6893154	77.26697433	284.1679424	268.1711074
244980_at	63.38633726	25.79000236	70.61535401	74.84427186
244981_at	17.75163495	13.01109069	25.67157668	26.95273927
244982_at	11.56224786	9.970874207	13.72952682	16.0791585
244983_at	16.45130357	11.08264244	23.16781368	25.73089974
244984_at	9.544899452	9.020016046	12.75012954	13.68031932
244985_at	15.51326016	13.19619412	16.51986509	21.81003228
244986_at	16.908655	16.85529532	18.98055141	18.83860197
244987_s_at	291.3036564	252.0506737	499.035971	433.9484919
244988_s_at	134.6620946	112.3479508	160.9791464	141.5305805
244989_s_at	13.94097927	14.4490226	12.1706136	14.88998092
244990_s_at	7.243916919	7.243916919	6.693449954	6.998666197
244991_s_at	14.49566887	16.45723429	15.68104717	14.49566887
244992_s_at	11.68147057	11.0735815	15.19273813	13.19610265
244993_s_at	9.926739959	9.105952918	10.89489207	10.57078052
244994_at	8.749981702	9.361631645	8.645144032	8.749981702
244995_at	7.555514498	7.620522926	8.069000616	8.411656867
244996_at	7.161143613	7.945180526	8.107853381	7.945180526
244997_at	21.70897944	20.54834078	21.93921499	23.07853914
244998_at	12.23464215	11.27503495	11.13963456	12.14137576
244999_at	10.20482827	10.49863602	10.20482827	10.20482827
245000_at	45.84841643	60.02576584	48.59951462	51.48427687
245001_at	137.5497779	138.4249317	1049.800882	765.0604849
245002_at	166.7935859	151.4848808	243.0568528	170.3384126
245003_at	189.4364316	138.790018	248.5599421	189.4364316
245004_at	23.92687369	27.72873699	23.43008041	23.36941962
245005_at	14.05108858	12.3905644	14.249506	14.49978899
245006_at	88.30174235	68.34765809	182.4996643	144.2642479
245007_at	37.16029372	35.5320741	58.28286935	55.48708084
245008_at	8.516200995	8.958952133	8.958952133	8.460013702
245009_at	123.5165028	61.32187904	247.5935635	222.5506648
245010_at	33.37648218	32.96469893	73.68402674	60.36079909
245011_at	24.34308319	25.87182643	60.23958809	42.65047784
245012_at	460.2519424	475.1502572	1283.439878	1523.738904
245013_at	221.3736962	232.5504627	370.9060525	282.9218912
245014_at	369.3923043	363.6205688	444.802165	369.6894338
245015_at	65.78605974	54.15227338	74.03830695	64.37149187
245016_at	8.87102002	10.50081937	10.80487143	10.25887054
245017_at	15.94453369	19.18278122	18.66857625	18.14436925
245018_at	21.3496424	25.44464221	25.54661079	25.44464221
245019_at	23.43544038	30.26188605	32.48270786	25.58967643
245020_at	24.8795761	25.80645377	28.00378635	25.27221131
245021_at	19.08093549	22.36126655	65.23073593	43.55601316
245022_at	38.70532076	47.72952256	62.09219381	57.07432551
245023_at	205.6047807	168.5228022	309.0807514	250.3946626
245024_at	65.77146955	81.44645495	110.0068842	93.15233321
245025_at	21.29569634	20.5286948	24.45215988	21.99463874
245026_at	46.77221995	49.77122532	71.10849416	70.04644851
245027_at	232.7117103	245.8781969	33.89122784	25.25925179
245028_at	162.9922999	172.321631	172.321631	170.8160822
245029_at	82.74670733	72.9643582	9.480085035	11.07872536
245030_at	7.765129582	7.418050041	7.469750211	7.469750211
245031_at	44.32964795	44.07259683	18.60772789	15.69931819
245032_at	18.1402194	15.61802368	10.70950578	10.16790112
245033_at	16.90549085	16.90607676	20.60882003	19.36675046
245034_at	18.97397439	15.53542711	20.65844845	20.49840853
245035_at	38.78347044	43.79395988	43.79395988	43.79395988
245036_at	7.835579626	9.206801231	8.036682013	8.036682013
245037_at	10.80966569	10.80966569	11.61792084	9.250234888
245038_at	204.2949879	184.436451	2564.923354	2626.634962
245039_at	192.204726	151.6929261	82.95804553	97.06437612
245040_at	16.68477123	16.92730037	16.92730037	16.04809337
245041_at	59.11121624	45.75634787	4647.696027	4728.280798
245042_at	291.519787	357.6786015	628.9798546	674.4604329
