	GSM388810	GSM388811	GSM388812	GSM388813	GSM388814	GSM388815	GSM388816
244901_at	6.06143	3.20096	6.56391	4.3722	6.736	3.57475	6.89622
244902_at	5.90378	4.48884	6.44487	4.48627	6.16654	4.72804	6.54721
244903_at	6.66748	3.51992	6.74423	4.52754	7.13392	4.00575	7.0379
244904_at	6.42936	5.26497	6.30789	5.04403	6.69083	4.87665	6.41721
244905_at	3.652	3.37488	3.59243	3.31743	3.3724	3.60356	3.44371
244906_at	8.42702	3.61656	8.10012	4.61331	8.86265	4.20145	8.34274
244907_at	3.21566	3.29743	3.29181	3.26235	3.33305	3.03185	3.48932
244908_at	3.53396	3.2919	3.33645	3.50951	3.41917	3.48372	3.27074
244909_at	3.45281	3.36826	3.64343	3.4647	3.46207	3.46207	3.46207
244910_s_at	3.71121	3.42263	3.44041	3.2796	3.33305	3.42263	3.57184
244911_at	2.87776	3.13315	3.01545	3.01545	2.95674	3.01545	3.13029
244912_at	6.96365	4.78203	6.44655	4.68543	6.31455	5.26602	5.89723
244913_at	4.09258	4.40723	4.21574	4.13136	4.13136	4.13548	4.05279
244914_at	3.08218	3.04978	3.16909	3.16909	3.424	3.16909	3.22916
244915_s_at	4.45435	3.6708	4.1486	3.67244	3.77758	3.8852	3.99204
244916_at	3.68369	3.41919	3.50557	3.45107	3.59556	3.50557	3.44346
244917_at	3.71575	3.49915	3.60649	3.37686	3.64738	3.56769	3.46647
244918_at	3.38258	3.10754	3.16333	3.16333	3.16333	3.07238	3.16333
244919_at	4.79683	4.46497	5.23459	4.17431	4.95972	4.64902	5.00182
244920_s_at	6.79173	3.88223	7.19408	4.58745	7.17395	4.46149	7.63244
244921_s_at	6.5929	4.28526	7.40085	4.78855	7.1875	4.27579	7.48202
244922_s_at	5.01102	4.56934	4.97319	4.41271	5.1842	4.47834	5.35853
244923_s_at	5.48696	5.19426	6.06548	5.19998	5.49095	5.21743	6.07123
244924_at	4.28143	3.85187	3.99221	3.88591	4.04206	3.82867	4.41877
244925_at	4.42034	4.04159	4.35364	3.6821	4.06741	3.87189	4.06741
244926_s_at	3.32771	3.06316	3.73378	3.03133	3.66887	3.0983	3.8303
244927_at	4.77897	4.35218	4.1969	4.28013	4.34234	4.28126	4.28126
244928_s_at	5.38184	4.8203	5.37113	4.70049	5.4448	4.8131	5.62153
244929_at	5.13362	4.16417	5.50255	4.03202	5.53007	4.206	5.49639
244930_at	3.37091	3.19934	3.19934	3.12969	3.19934	3.19934	3.20472
244931_at	3.86583	3.70498	5.06315	3.34078	3.86583	3.7308	4.61181
244932_at	3.9314	3.80135	4.04464	3.84873	3.93387	3.91306	4.27731
244933_at	3.46352	3.46352	3.46352	2.97339	3.46352	3.39946	3.64209
244934_at	4.90723	4.82563	4.78538	4.57617	4.82563	4.9512	5.28187
244935_at	3.87006	3.92458	4.04447	4.7106	3.9999	3.88454	3.9999
244936_at	3.41917	3.44373	3.41322	3.85593	3.55498	3.48712	3.61855
244937_at	3.14426	3.13242	2.9946	2.96243	2.81636	3.02389	2.9946
244938_at	4.32694	4.08631	4.24481	4.00544	3.95335	4.18685	4.08631
244939_at	3.2636	3.14319	3.19753	3.06885	3.14319	3.14319	3.26097
244940_at	3.14794	3.26681	2.98473	3.04037	3.24052	3.079	3.20303
244941_at	4.05767	3.82959	3.99402	3.89924	3.9955	3.74821	3.92317
244942_at	3.56581	3.88566	3.74368	3.66918	3.56581	3.55257	3.35118
244943_at	5.4394	3.21873	5.95802	4.07356	6.25412	3.41557	6.41386
244944_s_at	6.91195	4.01139	7.22389	5.36835	7.4685	4.17191	7.64967
244945_at	4.16788	3.63563	4.28443	3.879	4.3479	3.78572	4.46536
244946_at	3.84685	3.53344	3.97933	3.52272	3.63117	3.54511	4.12139
244947_at	3.37294	3.39281	3.55045	3.22659	3.50871	3.10623	3.4534
244948_at	3.30481	3.71195	3.31696	3.31696	3.50871	3.30481	3.30481
244949_at	3.74043	3.74043	3.94782	3.66837	3.90189	3.65006	3.94571
244950_at	6.88435	3.4527	7.19233	4.0351	7.48595	3.69558	7.07671
244951_s_at	6.83081	4.02655	6.9892	5.342	7.27832	4.92036	7.48991
244952_at	3.63898	3.35088	3.54949	3.2565	3.35088	3.13346	3.35088
244953_s_at	7.1037	3.5728	8.13351	3.25795	7.73565	3.48253	8.3338
244954_s_at	3.67394	3.16333	3.90796	3.53634	3.91202	3.50871	4.00648
244955_at	3.3713	3.31628	3.51261	3.2997	3.3713	3.17603	3.55339
244956_s_at	4.12234	3.74763	3.97647	3.8477	4.16809	3.86185	3.94429
244957_at	4.30312	3.8844	3.98001	3.80194	4.04585	3.98001	4.06906
244958_at	3.95418	4.04279	3.72204	3.87614	3.95562	3.95543	4.08376
244959_s_at	4.23078	3.73371	4.53683	3.95418	4.63601	3.67051	4.79917
244960_at	3.56825	3.06459	4.41334	5.94777	5.83466	3.08576	5.68482
244961_at	4.00081	4.36054	4.13241	4.36853	4.22301	4.13241	4.20582
244962_at	4.37955	4.15498	4.23693	4.14813	4.23693	4.08496	4.47552
244963_at	6.91047	6.6916	7.32199	7.40019	7.10756	6.37116	7.22743
244964_at	6.1278	6.00969	6.60893	6.97156	6.64412	6.15904	6.78784
244965_at	3.54419	3.26988	3.45922	3.34431	3.2001	3.35755	3.5565
244966_at	3.4535	3.38782	3.64188	3.24456	3.44662	3.29483	3.88178
244967_at	5.45977	5.90494	5.89104	7.25048	6.45141	5.77577	6.67927
244968_at	3.60069	3.86904	3.72204	7.11724	3.6748	3.85489	3.80327
244969_at	2.58822	2.83471	2.86056	3.53811	2.80019	2.93546	2.86056
244970_at	3.2243	3.01032	3.13478	3.16485	3.40181	3.16485	3.16485
