	fibroblast1	fibroblast2	iPS1	iPS2
1007_s_at	756.9138823	460.0226011	1792.932898	2154.698565
1053_at	525.5475057	516.6915014	804.5122984	1042.748672
117_at	38.58139826	38.79062318	28.08663822	40.90642132
121_at	67.27946909	76.39872757	47.69219704	63.89045443
1255_g_at	17.32354087	11.44902024	922.1947894	724.7792313
1294_at	214.8895307	241.3217591	43.028992	59.87467102
1316_at	157.7550529	154.6060654	90.98553457	91.3661785
1320_at	78.90083893	112.6447687	56.76531226	47.13484089
1405_i_at	21.91165316	18.14569863	12.22762391	10.20622129
1431_at	39.9022882	44.41876142	12.13998295	11.40520108
1438_at	39.16046726	53.57380928	32.62802863	32.00657573
1487_at	416.891578	550.1017579	628.6193311	477.7165655
1494_f_at	21.728586	23.16564033	25.3123734	20.57544467
1552256_a_at	86.27932676	105.912175	231.0077949	229.2753589
1552257_a_at	1090.040966	833.8564257	1418.186212	2293.437918
1552258_at	45.92654611	61.08272706	32.9471161	22.7115303
1552261_at	25.79074754	26.92811603	52.90772504	44.63560279
1552263_at	77.13815218	111.199852	227.8439526	218.7191785
1552264_a_at	277.1609075	392.6887973	362.5046306	382.083264
1552266_at	14.52874481	32.2075376	14.93175409	13.35857636
1552269_at	12.14398201	20.04415564	11.76620515	16.37746571
1552271_at	52.45856394	52.38759244	42.2241985	53.55933125
1552272_a_at	41.5523324	52.000352	169.4108196	147.150768
1552274_at	92.25236003	242.3812163	30.10200134	34.91705183
1552275_s_at	381.572028	810.5940571	105.1046561	120.0811204
1552276_a_at	46.0796442	55.21382654	42.81636314	43.49865989
1552277_a_at	1339.631584	1621.500339	741.0946017	824.9819515
1552278_a_at	43.89029409	28.5076305	10.54462789	10.73333671
1552279_a_at	57.18665659	70.42211097	69.83676503	89.83934305
1552280_at	10.31057594	9.077710169	9.447673698	11.46667849
1552281_at	45.84128769	44.67344867	39.9878203	41.37852747
1552283_s_at	12.61077228	13.62966078	370.7270447	152.825862
1552286_at	97.74798015	110.9469354	175.4907546	201.8230094
1552287_s_at	208.9532135	185.6488902	363.3601511	337.1572824
1552288_at	21.88390571	22.91873305	77.70261615	37.96820318
1552289_a_at	28.2049264	25.58542424	71.18156889	50.20622786
1552291_at	488.5822165	532.5595976	286.6907049	359.603039
1552293_at	16.57001953	19.62759321	18.86130398	18.46220333
1552295_a_at	306.8035134	368.1211014	99.71922497	79.72423528
1552296_at	27.12371839	31.70408247	65.46736051	54.74185701
1552299_at	154.8679509	85.04919691	90.48162654	70.43451034
1552301_a_at	75.82419651	118.4433032	65.95120993	44.05956618
1552302_at	283.5275208	290.4440488	64.05326238	67.17133202
1552303_a_at	143.8159586	110.7883998	25.79646825	29.15324221
1552304_at	45.90176625	66.94012538	51.12123799	72.74292279
1552306_at	248.0056825	246.0504695	189.2087184	275.2650222
1552307_a_at	74.44955028	131.1222928	162.7169386	162.1612657
1552309_a_at	2669.952259	1372.58659	256.6028385	344.386828
1552310_at	264.8413788	291.6413335	161.7757678	217.3238652
1552311_a_at	70.74930286	67.6210066	77.76580694	66.43130019
1552312_a_at	147.3649133	84.14310911	92.00915234	119.4852119
1552314_a_at	69.75006479	70.70057112	120.4617323	98.3842404
1552315_at	25.63389991	28.53537252	21.53827237	25.41619095
1552316_a_at	10.99373166	10.56331067	9.095996045	11.73657499
1552318_at	11.78948815	13.43674445	9.572636121	9.997037603
1552319_a_at	18.8426352	16.38879415	19.74205311	28.94495926
1552320_a_at	21.69617793	23.71211271	26.29626316	17.10566188
1552321_a_at	24.79828149	25.55744325	19.64969558	21.68839427
1552322_at	10.2875719	14.18933751	16.80779731	16.58428733
1552323_s_at	43.56049829	85.58665835	113.024329	108.7850337
1552325_at	13.11152536	13.5658571	13.80298075	10.72933382
1552326_a_at	15.5285222	15.73746707	24.2889836	14.67302694
1552327_at	32.125058	32.37483725	97.03726705	35.5452215
1552329_at	137.6775106	141.4044133	560.6416847	202.0020227
1552330_at	94.29339935	98.92486656	43.7058585	80.01318126
1552332_at	186.6971655	198.3931777	182.8448937	98.33229939
1552334_at	249.5688642	162.6737187	150.3746111	112.6861396
1552335_at	23.70514284	140.5136984	12.28333562	17.23153045
1552337_s_at	30.46621429	25.34221267	16.20119867	17.29363743
1552338_at	31.78068249	23.63540007	25.45484942	30.9566583
1552340_at	16.29106149	17.32117247	10.75186482	15.26823205
1552343_s_at	72.8556066	62.69477229	197.547575	175.9402057
1552344_s_at	264.1630153	191.4964684	183.0613829	299.0251312
1552347_at	198.0511516	135.5357637	211.2614997	109.1490364
1552348_at	21.93215376	22.84725829	76.80849365	34.04326501
1552349_a_at	25.42924532	30.63777004	31.19033537	20.62111913
1552354_at	20.55002331	21.24755964	20.72225637	19.37128879
1552355_s_at	31.79238065	33.06229874	30.25750516	28.29985778
1552359_at	11.17073018	22.0377116	13.06100079	15.74926256
1552360_a_at	374.3283133	226.7282378	192.4141361	195.5959855
1552362_a_at	46.45456373	29.83078467	56.12144782	77.09344812
1552364_s_at	50.52148096	75.62400712	97.47544468	93.98639875
1552365_at	1071.095543	1370.101852	16.44601332	34.32017212
1552367_a_at	344.4373131	595.6272303	16.49654885	21.6584324
1552368_at	11.04540755	9.065235077	27.68495811	53.40477237
1552370_at	155.8921381	299.7081528	85.12769099	60.42814989
1552372_at	6.333945891	6.618455815	6.475739696	5.691049528
1552373_s_at	10.44922448	15.50769028	10.91886757	8.033808129
1552375_at	63.62737341	49.6910925	27.12338357	14.39499259
1552377_s_at	119.0835571	93.28052311	123.7499622	139.4842815
1552378_s_at	152.6502296	49.39179873	52.76446389	53.26457346
1552379_at	7.366447861	6.89618389	8.433781867	9.672478293
1552381_at	14.64052728	11.49134739	271.3753657	155.4588468
1552383_at	84.44471393	87.94307803	65.56688433	68.04572186
1552384_a_at	25.30265727	23.92073558	24.89210923	25.25109493
1552386_at	7.280887189	6.78894775	6.528533384	6.089118059
1552388_at	41.44667709	41.5127275	59.6292362	72.34927361
1552389_at	47.44571043	27.10949922	69.51735518	63.66043729
1552390_a_at	35.68072214	21.66852918	55.96288185	73.3456854
1552391_at	77.71797054	78.21400709	63.9885505	69.27547535
1552393_at	8.139953669	9.298301852	9.736726379	6.7850587
1552394_a_at	11.32198854	9.64707059	10.38178861	11.38727947
1552395_at	19.761476	25.32704052	17.10799234	22.77588085
1552396_at	26.959734	22.83778312	21.54467655	22.17517898
1552398_a_at	12.93159614	32.52845136	13.05383932	12.93110557
